dependency,depmap_column,N,beta,se,ci_low,ci_high,p,N_adjusted,beta_adjusted,se_adjusted,ci_low_adjusted,ci_high_adjusted,p_adjusted,fdr,fdr_adjusted,stronger_dependency_high_signature,annotation
VAC14,VAC14 (55697),25,-0.02982971698045915,0.056297738392362004,-0.146290461955199,0.08663102799428071,0.6012895429210743,25,-0.009440518850832559,0.06138589832319682,-0.13674708013240464,0.11786604243073953,0.8791775575041881,0.9996683886512429,0.9961651794429218,True,
CDC42SE2,CDC42SE2 (56990),25,0.017260205688241666,0.043392661384405395,-0.07250435352094498,0.10702476489742832,0.6944691493133897,25,0.007349698613166876,0.04779080147407297,-0.09176235745746053,0.10646175468379429,0.8791781180356497,0.9996683886512429,0.9961651794429218,False,
F2,F2 (2147),25,-0.05293440846710276,0.08401730567692042,-0.22673744726256706,0.12086863032836154,0.5348771403757057,25,-0.013930641786580683,0.09061568742158144,-0.20185607545980702,0.17399479188664566,0.8792215623327577,0.9996683886512429,0.9961651794429218,True,
TOM1L1,TOM1L1 (10040),25,0.027770784135994053,0.04414559006607897,-0.0635513267206394,0.11909289499262751,0.5355002005752681,25,0.007317027756152566,0.04761786726917702,-0.09143638472442175,0.10607044023672688,0.879277533860763,0.9996683886512429,0.9961651794429218,False,
NEIL3,NEIL3 (55247),25,-0.03915829399322163,0.04245156042914437,-0.12697603754913495,0.04865944956269168,0.3658837609795417,25,0.006121435557015339,0.03987745841488369,-0.07657935146607425,0.08882222258010494,0.8793984911160885,0.9996683886512429,0.9961651794429218,False,
ATP4A,ATP4A (495),25,0.02021906297217356,0.03647743889671729,-0.0552402686101162,0.09567839455446332,0.5847305808230805,25,-0.005794348649653314,0.0378029243281313,-0.08419281530177829,0.07260411800247167,0.8795764466480203,0.9996683886512429,0.9961651794429218,True,
TMPRSS11D,TMPRSS11D (9407),25,-0.02265814861729098,0.050232959935125436,-0.12657294348096296,0.081256646246381,0.6561692918248403,25,-0.008446021331150274,0.05513041839703672,-0.12277951126704476,0.10588746860474421,0.8796364809679045,0.9996683886512429,0.9961651794429218,True,
NPHS1,NPHS1 (4868),25,0.023235881355907654,0.04550991437061597,-0.07090854935638594,0.11738031206820124,0.6145196378195523,25,0.007611141958593932,0.049707482517880916,-0.09547586730854894,0.1106981512257368,0.8797004671743729,0.9996683886512429,0.9961651794429218,False,
INSYN1,INSYN1 (388135),25,0.0020724716940945286,0.03762381871186088,-0.0757583272172228,0.07990327060541184,0.9565472196944198,25,-0.0063424052823796775,0.04144837558117998,-0.09230107510855926,0.07961626454379989,0.8797778050786311,0.9996683886512429,0.9961651794429218,True,
TSPAN9,TSPAN9 (10867),25,0.0050912226959608795,0.04541458962621079,-0.08885601375835768,0.09903845915027944,0.911712460981087,25,0.0076955097960832546,0.050323603815630315,-0.09666925683702417,0.11206027642919068,0.8798548846018353,0.9996683886512429,0.9961651794429218,False,
