gene,mean,variance,fraction_FPKM_ge_0_1
AC087859.1,-3.1695111679208234,0.05793433195015417,0.013333333333333334
AC090044.1,-2.998952300466538,0.18349337494114365,0.09333333333333334
AC090505.6,-3.1746547932257267,0.0441313350158302,0.008888888888888889
AC091729.9,-0.09310689270681909,0.5747009866747649,1.0
AC091814.2,-3.1937486076856803,0.15283295776588277,0.035555555555555556
AC091878.1,-2.6266499516380075,0.2014605610043237,0.20444444444444446
AC091969.1,-2.925684929818163,0.16291496889007853,0.07555555555555556
AC093375.1,-2.7288179959597008,0.6034272359992235,0.26222222222222225
AC093391.2,0.6461021904591049,0.5354889622668004,1.0
AC093590.1,-3.290254372280593,0.010125856370883821,0.0
AC093627.10,0.5822627187745087,1.199429884062058,0.9911111111111112
AC093690.1,-3.014940240410187,0.08940923300472065,0.017777777777777778
AC095067.1,-2.8881644574972727,0.5624734063116503,0.1288888888888889
AC096559.1,-2.9730425579810436,0.5833974767415497,0.1511111111111111
AC097468.4,-3.0932624062451666,0.19535668214066268,0.06222222222222222
AC097500.2,-1.7212474287608999,1.0222764567444118,0.7244444444444444
AC097662.2,-1.9386084593498214,0.24204919921173804,0.8044444444444444
AC098823.3,-2.56171150967176,0.15561067726569439,0.27555555555555555
AC099342.1,-3.2699589742385258,0.03507229677595165,0.0044444444444444444
AC104134.2,-3.2147363396481756,0.04653780633430719,0.008888888888888889
AC104653.1,-1.006515647867907,0.9989515141045788,0.8933333333333333
AC104654.1,-3.155021394831113,0.13812137103104574,0.04888888888888889
AC104654.2,-1.7576426703325703,1.2858614509303958,0.68
AC104655.2,1.0751595405020493,0.49666845879411153,1.0
AC104777.2,-3.3074595952295933,0.004340019180373732,0.0
AC104777.4,-3.307802199611582,0.01177693233554228,0.0044444444444444444
AC105053.3,-2.2540247607640698,0.20727902931128692,0.5555555555555556
AC105339.1,-3.1203081796692955,0.04289036824268872,0.008888888888888889
AC107070.1,-3.313120069428201,0.003131693980328654,0.0
AC109828.1,-3.162368433440807,0.10573370067744192,0.03111111111111111
AC113607.2,-3.2309883487529913,0.055858506928887705,0.008888888888888889
AC125421.1,-3.2904287213753247,0.026408153664559973,0.008888888888888889
AC137932.6,-2.929972034087909,0.15041653276686084,0.09333333333333334
AC144449.1,-0.6678004731442695,0.41268601554863515,0.9911111111111112
AC147651.4,-0.4755802429949114,0.48436850035584905,0.9911111111111112
AC159540.1,-2.8191685707298957,0.42254717660461827,0.20444444444444446
AC226118.1,-2.520499997426103,0.49237730101364025,0.3333333333333333
ACAA1,4.743155545970127,0.5428188062326095,1.0
ACAA2,4.590130362979092,0.5523126235542991,1.0
ACACA,3.443024436504128,0.6240952719572447,1.0
